well_id,n,anchor_rmse,pf_rmse,best_cand
125be846,6510,18.441379950265283,19.614068180560224,1
1285a37b,5597,5.549117512133954,5.504340591979583,0
1295a25b,5551,9.716800903498608,6.9289087525376285,0
12f0cd90,5947,7.895034499573364,5.583455045430582,0
137d1e44,4554,25.010172511867026,23.66945814188415,0
13ce113d,2966,3.381014512965784,3.463871650493208,2
13f598d9,7306,15.16858992587756,6.89445184136132,2
14a53cb3,6919,8.94761773897247,2.3505163666225686,1
14ab73fb,3649,14.81915286795364,2.1627604916706376,1
14ad5efb,5842,6.298504340917485,5.680782817109388,2
14fee784,4910,21.419815878785553,9.942923122307777,0
153552f5,4695,5.161441840641978,6.511182650527255,1
1550491d,4563,21.167156242041475,13.687910808429884,1
155887bb,5585,11.793313793912793,3.125107689123372,2
1590af81,3799,5.560887269871239,11.907368873629817,1
15e154a1,6068,23.22648490243106,8.269254196874599,0
1619e2ca,4443,7.812315673810556,3.6978181068387954,0
16e4a047,4131,10.715407020528387,2.4852057462470514,0
173ed841,4883,17.58051747694951,23.30621076363295,1
1770d7c6,7240,12.332849608315879,12.691006021460206,0
177622d7,3154,9.800349606500166,5.204381640990558,0
18d24f7b,4558,7.530076271970659,2.8633948916732206,1
19137a89,6267,18.119920942456794,7.447794164592933,1
1944513c,4722,5.738736995920461,2.7283148768735432,0
197f8a5a,6310,24.61555435098563,9.47594485825944,2
19871e7f,5293,5.353880109906093,14.203199912901768,0
198a5607,6251,9.944851115115334,3.778378209423572,1
19fb4f7b,5620,11.089880426882702,8.314738119995505,1
1a518997,4606,10.76070073803029,1.3210434618043745,1
1a68190b,4474,16.431826147748733,28.389879868937488,2
1a730ac2,4605,16.350400725581075,7.685648589661756,2
1aaf1da0,4804,9.288199403984146,6.759302655922425,0
1b08ed48,5618,11.838490879530399,3.2280788981600064,2
1b1c5372,4261,17.833374900392585,27.26476973710196,0
1b1eba53,4655,70.63937461968057,54.80016800422182,1
1b6ba517,6597,7.818279827064867,11.20950249416933,2
1b82b665,3806,6.106594455886377,21.10039967928978,1
1bcb2fcf,4524,6.2062031463179,6.3811872656783,0
1beca81d,5036,8.154769966888065,16.522771012505675,1
1d3fbf02,2694,5.906372283901897,17.29719872808859,0
1d78281a,4949,11.881246003992382,9.248764565245198,2
1e30dedf,4071,12.137059232129838,7.381000681884657,1
1e5e3573,5480,11.921759172625736,5.492498236287907,0
1f9afacb,5328,2.518404175433652,3.8479754674585864,1
1fdbba44,4911,5.835321753197851,35.44173243998634,0
1fee2b62,4641,8.271183690259376,9.80539633842667,2
