bias60,bias70,bias80,well_id,c_oracle,known_n,bias_mean
1035.5253905188845,-25.7331788535229,24.23887634502781,3417285d,19.5,2009,344.67702933679647
4286.318116587782,74.63234938787515,30.77247093978637,347242c8,1.0,1842,1463.9076456384812
691.1226644832637,-205.54861938288067,-30.2630062980251,353e5502,3.5,1839,151.77034626745265
1114.1233068388176,-358.2948054774262,19.947100989522934,357c12f9,7.5,1691,258.59186745030473
1162.8003024474708,69.89394960746343,18.6822669674263,3584a6eb,-10.5,1656,417.12550634078684
2910.060219706391,-43.556772174381095,98.1023952000547,35b30c7f,-12.5,1691,988.2019475773549
114.8292454325866,99.4254704531125,-73.19037287001568,35b3ef6a,-13.5,1832,47.021447671894485
980.8471781356429,-23.528216768331134,6.484766620210453,367456ce,-1.5,1743,321.2679093291741
273.0754533335458,-97.08547731597217,1.2550949414999484,368131f9,10.0,1577,59.081690319691184
28.67787694836873,-35.99571656766446,48.343539294818285,368fe682,12.5,1480,13.675233225174187
98.42140398083056,-37.05095323120429,52.99028203304474,3690a146,5.0,1688,38.12024426089034
1543.5835481253132,8.332555748851417,23.287855641549932,37344c2a,7.0,1746,525.0679865052382
310.20439803587016,112.055119741413,-10.060787036186483,373ef48b,1.0,1483,137.3995769136989
848.4293827173965,-359.0596648682779,33.4435497757522,374be387,-10.0,1837,174.27108920829028
1107.9786341624351,-70.4302307336923,476.20030162914463,37d36812,12.0,1650,504.5829016859625
1671.2641149150395,-6.808780942441732,-18.290912966894776,38991fd4,-6.0,1747,548.7214736685677
1976.4711853495512,-96.85334468089272,14.84378705407242,389ae58f,30.0,1738,631.4872092409104
712.3763280081372,-134.23086998574516,321.43148466796976,3932faa6,-5.5,1936,299.8589808967873
