well_id,n,anchor_rmse,viterbi_rmse
7993a768,5487,8.94458476658435,3.520414281335201
7a5660b0,4998,13.453411559639392,11.511639849335525
7acda2df,3091,13.841227690699123,15.970136459177915
7b2c7b3c,2584,6.17273385674935,4.155981095959431
7b38844c,3749,7.388349907150671,12.083499846965397
7bb17b96,3922,17.009046194531738,27.94093835084144
7c607683,5328,16.864753655466934,5.886448523512598
7cbbd047,5121,12.532698729088267,16.40164474799288
7cd4bb31,6439,5.9143797077311655,2.862081996747923
7d50373e,5122,14.288140886490114,1.8407227149239576
7d57c75d,4405,14.198113996829493,19.894637296690046
7e208414,4226,6.381931414565357,3.4409830347080566
7e721392,6174,40.331826473951956,23.326807652655955
7ff89f8f,7337,14.155555516103233,17.642539769359775
8050c789,3077,7.786449457719408,15.90372197531636
807f0298,3747,8.853825493010934,14.980680524524752
811f52b3,4836,4.598301010999275,7.769830999404456
81bf5923,4543,31.31927935297995,30.077905992632516
81fc01c6,5909,15.007610097527794,12.817398747201592
8255c867,3589,25.379544413656888,24.397120670087965
82aab6d2,6140,16.359385167102737,15.978373341542364
82fcf37c,6014,6.562385974432521,2.5551830122597674
833af382,3628,11.932419080398546,18.367656817120125
8382f4b6,4967,35.957613544757436,30.024614927257833
84633df4,4972,4.736172446701271,11.420288205781974
8478df29,4857,14.043024034272376,9.372206766095383
84815d5a,3647,18.796385252137515,14.40048923893992
84c3b497,5312,18.960394713110585,16.137941404259603
85380836,6618,14.16579981313258,6.350519792262589
8612b37f,5165,19.617069448970486,17.986419218455723
861e71df,4700,11.539564677986593,13.046372275585991
86454a6f,7964,70.26338513734783,57.63583702735878
8648abae,4244,6.857839767871924,10.738236192105497
865033f8,3557,5.940308678128904,4.980973904790442
87695469,7003,7.051593014629924,14.031106398486841
877ed19c,3708,3.961990141908008,10.897862986132594
87aa3730,5607,9.116484132166912,4.329612684302873
884ecb5f,6724,19.928910115404566,11.543605391353898
8902c3f6,4959,8.832044207317482,18.20058223320706
896d15b9,4279,29.78460727060298,24.388334989243084
8995c945,6724,17.049572930743697,14.744147999730053
89969c7a,4947,8.235332474787521,14.948556943725222
89f1085d,5994,27.630506752261244,12.120391868626273
89f36adf,5292,4.477972454313123,11.60118992482936
89fdb2f2,2031,1.6866180518953557,1.894159828897939
8a3da6d1,4593,9.412246097229765,4.5315537347618005
8a89da23,3935,24.252456304947117,21.9780254173396
8a9c8932,4663,2.3969295087935425,9.049585080825272
8ac2f237,5319,16.45119897844976,7.988494505427586
8b12bab6,5234,15.811256392108719,16.611593933143105
8b5be31b,5672,14.42858472653754,9.394001782077115
8b95d6d1,1731,12.821591683060278,6.506505307992581
8b9d8326,6163,6.582552988433189,6.123211540392119
8bb9c1e6,4546,5.877089429163017,9.796666372769632
8bda1a11,5981,12.860573075338545,15.380565228278357
8bfa881d,4089,24.907656478671402,17.69794244714135
8c167025,5368,12.842100494100917,19.167060657573543
8c8348e8,3888,6.541121071059431,6.136852305887467
8cc21f01,4044,5.692405675014437,6.082461342188891
8cc800b3,6576,13.894631430456734,27.579996084991112
8d5d46d7,5755,14.448678432466647,30.718998485599894
8d92cb49,3589,7.261615385751236,2.14242314436445
8f201368,6349,31.179492905922075,16.907005609139294
90386ee4,3840,10.152954610245539,14.030619522768948
91abc4c7,5848,7.02683994774031,8.550268323643767
91b301ce,6570,35.315076932980844,37.721892089350675
91db7070,4073,40.80747690976154,45.98956507328315
925a7cd1,4517,4.612563792738408,2.2755108756953075
9283ae69,3371,6.173284378497139,11.350180532974386
9298ad5b,3964,13.089984763550598,14.896313578332455
9314ff13,2748,5.189815774469084,2.574576744796764
93209a3d,4697,13.65809981076041,6.133912163785645
939d9c34,5101,15.729081869192102,25.968952206626085
93f5d2e6,3691,20.10571368100563,16.470885425585855
940a48d9,3963,10.06328128166555,8.072233888743401
940e709a,3348,4.6519560575408425,4.9361153942332185
9426ec1e,2532,12.079413246018726,23.489740391775175
94467f50,3035,7.795325573109472,9.857494508753861
944f36b9,4630,6.513075857645095,5.427523400149788
94d813a4,4847,36.730942118502206,36.537966840220186
95b559e7,2887,20.38335913388356,25.763269343794622
95c8427f,6335,27.215687207592826,31.05946601148684
96936c22,3346,4.079825343764616,11.752502573340424
96ae5806,9839,8.450669041365172,5.42392648400714
96b7eea1,4332,12.405056848354107,8.049484051186392
9719aa04,4871,7.07656345543121,15.386182681608247
974802e7,5843,13.80511563998303,14.652149074350897
97cd5bf9,3449,9.273936692075774,10.068705053555636
98177ced,4772,5.779865915399804,9.344801328056635
9896fc0b,3595,15.814766850712997,16.21718647150144
