well_id,fold,n_rows,rmse_e8,mae_e8,rmse_e9b,mae_e9b,d_rmse,d_mae,tw_known_gr_corr,n_known_gr,tw_group_size,shares_typewell
d1ee630d,0,6290,6.703445397927198,5.573852536922155,6.107499005197306,5.300032178357433,-0.5959463927298918,-0.27382035856472253,0.852257786703924,1075,1,False
d217e0c5,3,3838,5.871269718263734,5.004498846679006,4.329783278036221,3.493836512821906,-1.541486440227513,-1.5106623338570997,0.8257525183504921,1633,1,False
d24ff243,0,5641,9.11118285101706,8.667337360036369,6.676298716451628,6.012437437556568,-2.434884134565433,-2.6548999224798004,0.8579496161587987,1261,1,False
d273674e,0,3899,7.052016537740326,6.242078525643453,4.70755100350972,4.218841740602999,-2.344465534230606,-2.023236785040454,0.8789060855930731,1510,1,False
d2f3b1ab,1,5581,12.202066747206795,10.214008737665523,12.863784286678213,11.027863576490594,0.6617175394714181,0.8138548388250708,0.827148480354085,1217,1,False
d3df146b,4,5787,7.94926629648957,6.822388437797984,8.834035326121922,7.479945807759455,0.884769029632352,0.657557369961471,0.8212929768515487,1152,1,False
d40f61d5,1,4039,3.936052325553051,3.5570917061200293,4.006834516336484,3.5657632952572196,0.0707821907834334,0.008671589137190239,0.7465533961802057,1555,1,False
d41beaf2,0,4753,7.730130188520071,6.56945927439944,7.915120120922708,6.370262611737801,0.1849899324026376,-0.19919666266163905,0.8951020832804437,1419,1,False
d463e527,0,4767,8.413201853263486,6.667884320517767,7.42967147321103,6.351101463532241,-0.9835303800524553,-0.316782856985526,0.6623888397453327,2142,1,False
d4f60a28,4,4501,5.806519145242532,4.783306078751634,6.077101731974214,5.15245654838399,0.270582586731682,0.36915046963235554,0.8753697647512209,1297,1,False
d50c649a,2,4873,4.4229515367486,3.747174390508121,8.556156904035246,8.195987394925366,4.133205367286647,4.448813004417245,0.8071391224460356,1328,1,False
d543916f,2,4799,8.989754887741093,6.500941905827766,7.500954064812349,5.1997323120553185,-1.4888008229287433,-1.3012095937724473,0.9105726688306587,919,1,False
d5df0ff5,3,4032,6.79114746283855,6.019230727241954,5.766498727547926,5.007168613415241,-1.024648735290624,-1.0120621138267127,0.8330757743465553,1440,1,False
d60430e6,0,2511,2.8286138094895557,2.3338615314269,6.4267755155741195,5.4715120116947515,3.598161706084564,3.1376504802678515,0.221862505550433,1275,1,False
d63196fe,1,4510,17.494477357061296,15.711237022497397,16.369952965391217,14.884583679973142,-1.1245243916700787,-0.8266533425242546,0.7964268819370409,1225,1,False
d6c320d9,1,5452,12.457603807548075,11.42640165111484,13.551494916005746,12.981518746202674,1.0938911084576706,1.5551170950878337,0.8240275152026294,1443,1,False
d6dd7330,4,6193,7.018601895714058,5.302636223366856,8.337028196590595,6.723716111587046,1.3184263008765367,1.4210798882201896,0.8450777571621103,1407,1,False
d7ba4f9d,4,6023,12.666181030031963,11.313693281848026,15.9938117361658,14.522546513068594,3.327630706133837,3.2088532312205675,0.6730382820990728,1283,1,False
d7eb0be8,3,5401,15.086122499604304,13.077044871916476,16.34705003910495,13.834118234671912,1.2609275395006456,0.7570733627554365,0.8663092056198665,1731,1,False
d84b621b,1,3994,16.754303039320856,15.692701758538655,15.602881372413524,14.897427520973997,-1.151421666907332,-0.7952742375646586,0.7911934711005897,1480,1,False
d90aa14c,1,10018,8.644537121061614,6.7491027744450705,8.879054935898422,7.44853802081531,0.23451781483680811,0.6994352463702391,0.8732693155833561,1096,1,False
d924e971,0,3184,33.589092738940934,26.198581337914188,32.726780580878625,25.224966854288443,-0.8623121580623092,-0.9736144836257452,0.8406628488473266,1756,1,False
d9ae59b2,3,3648,13.74602082545878,12.909504257060915,15.25053786300525,14.192007795760462,1.5045170375464707,1.2825035386995474,0.6911574180374042,908,1,False
d9d6d94d,3,4919,10.415633798121688,8.466442235602557,8.934131299827008,7.474294574008233,-1.4815024982946792,-0.9921476615943234,0.7092542027668963,1437,1,False
d9eca87b,0,6373,15.722346603110244,10.225302864156772,19.09255978940235,13.11335182671661,3.3702131862921068,2.8880489625598376,0.6409368642786994,810,1,False
